employee_id,name,department,salary
1,Employee_1,IT,66193
2,Employee_2,Marketing,42118
3,Employee_3,Marketing,73499
4,Employee_4,Sales,96471
5,Employee_5,IT,31780
6,Employee_6,IT,89468
7,Employee_7,IT,79422
8,Employee_8,Sales,96492
9,Employee_9,IT,68228
10,Employee_10,IT,86118
11,Employee_11,Sales,93653
12,Employee_12,Sales,97898
13,Employee_13,Marketing,78272
14,Employee_14,HR,33920
15,Employee_15,IT,51213
16,Employee_16,Sales,94900
17,Employee_17,Finance,67043
18,Employee_18,Sales,88905
19,Employee_19,Sales,45921
20,Employee_20,IT,52299
21,Employee_21,IT,58387
22,Employee_22,HR,93686
23,Employee_23,Sales,39047
24,Employee_24,Finance,65438
25,Employee_25,Marketing,72782
26,Employee_26,Sales,72764
27,Employee_27,Finance,89039
28,Employee_28,Sales,97312
29,Employee_29,Finance,74962
30,Employee_30,Sales,42821
31,Employee_31,Sales,68415
32,Employee_32,Marketing,86811
33,Employee_33,Marketing,41118
34,Employee_34,HR,30291
35,Employee_35,Sales,91064
36,Employee_36,Sales,76663
37,Employee_37,IT,95151
38,Employee_38,Sales,70785
39,Employee_39,Marketing,84276
40,Employee_40,IT,77523
41,Employee_41,Sales,82092
42,Employee_42,IT,92861
43,Employee_43,Finance,46958
44,Employee_44,Finance,66348
45,Employee_45,Marketing,65510
46,Employee_46,IT,68743
47,Employee_47,HR,96263
48,Employee_48,Finance,76870
49,Employee_49,IT,48976
50,Employee_50,IT,99577
51,Employee_51,Finance,33403
52,Employee_52,Sales,95027
53,Employee_53,Sales,83036
54,Employee_54,Marketing,56397
55,Employee_55,HR,81777
56,Employee_56,Marketing,41622
57,Employee_57,Finance,32189
58,Employee_58,HR,46623
59,Employee_59,Sales,34463
60,Employee_60,Sales,44014
61,Employee_61,Marketing,96895
62,Employee_62,Sales,98621
63,Employee_63,Marketing,91547
64,Employee_64,Marketing,71006
65,Employee_65,HR,35042
66,Employee_66,Marketing,41084
67,Employee_67,Sales,79800
68,Employee_68,IT,87142
69,Employee_69,Sales,79273
70,Employee_70,Sales,42534
71,Employee_71,IT,41352
72,Employee_72,HR,85603
73,Employee_73,Marketing,63569
74,Employee_74,IT,77921
75,Employee_75,HR,84488
76,Employee_76,IT,60009
77,Employee_77,Finance,47125
78,Employee_78,Sales,36745
79,Employee_79,IT,57923
80,Employee_80,Marketing,63013
81,Employee_81,HR,34606
82,Employee_82,Sales,33899
83,Employee_83,Marketing,91656
84,Employee_84,Marketing,59627
85,Employee_85,Sales,72383
86,Employee_86,Sales,39692
87,Employee_87,Finance,98307
88,Employee_88,Finance,52794
89,Employee_89,Finance,46531
90,Employee_90,IT,47848
91,Employee_91,IT,75963
92,Employee_92,HR,88483
93,Employee_93,Marketing,45140
94,Employee_94,Finance,75746
95,Employee_95,IT,92857
96,Employee_96,Sales,63730
97,Employee_97,Sales,56272
98,Employee_98,HR,87108
99,Employee_99,HR,39560
100,Employee_100,Marketing,78886
101,Employee_101,Sales,33913
102,Employee_102,HR,35657
103,Employee_103,HR,93176
104,Employee_104,IT,93344
105,Employee_105,IT,43465
106,Employee_106,Sales,73723
107,Employee_107,HR,55990
108,Employee_108,HR,46618
109,Employee_109,IT,66383
110,Employee_110,HR,53628
111,Employee_111,Sales,31078
112,Employee_112,IT,48517
113,Employee_113,Sales,71384
114,Employee_114,IT,99695
115,Employee_115,Finance,50506
116,Employee_116,Sales,80271
117,Employee_117,HR,72514
118,Employee_118,HR,80272
119,Employee_119,IT,59208
120,Employee_120,Sales,49526
121,Employee_121,Marketing,63396
122,Employee_122,Marketing,44981
123,Employee_123,Sales,48743
124,Employee_124,Marketing,99881
125,Employee_125,Marketing,81096
126,Employee_126,Sales,94353
127,Employee_127,Finance,60568
128,Employee_128,HR,37475
129,Employee_129,Finance,62595
130,Employee_130,IT,88932
131,Employee_131,Finance,40101
132,Employee_132,HR,65532
133,Employee_133,Marketing,74629
134,Employee_134,HR,68017
135,Employee_135,Finance,31062
136,Employee_136,IT,36863
137,Employee_137,Sales,76023
138,Employee_138,HR,35049
139,Employee_139,HR,54737
140,Employee_140,Marketing,85120
141,Employee_141,Marketing,75948
142,Employee_142,Finance,86056
143,Employee_143,Sales,50667
144,Employee_144,Marketing,31381
145,Employee_145,Finance,36953
146,Employee_146,Finance,87408
147,Employee_147,Finance,52369
148,Employee_148,Finance,93732
149,Employee_149,Finance,40643
150,Employee_150,Marketing,91724
151,Employee_151,IT,51187
152,Employee_152,HR,80241
153,Employee_153,Sales,86128
154,Employee_154,IT,36559
155,Employee_155,HR,74528
156,Employee_156,IT,46997
157,Employee_157,Marketing,50040
158,Employee_158,Sales,68716
159,Employee_159,Marketing,84834
160,Employee_160,Marketing,41865
161,Employee_161,Finance,66380
162,Employee_162,Finance,97122
163,Employee_163,HR,63517
164,Employee_164,Sales,85121
165,Employee_165,IT,88221
166,Employee_166,HR,72268
167,Employee_167,Sales,37175
168,Employee_168,IT,67579
169,Employee_169,HR,95776
170,Employee_170,Finance,41972
171,Employee_171,Finance,96515
172,Employee_172,Finance,38926
173,Employee_173,Marketing,95263
174,Employee_174,Finance,78990
175,Employee_175,Finance,99300
176,Employee_176,IT,90248
177,Employee_177,Marketing,42287
178,Employee_178,Sales,70506
179,Employee_179,Finance,48767
180,Employee_180,HR,51244
181,Employee_181,Marketing,59396
182,Employee_182,Sales,75657
183,Employee_183,HR,32531
184,Employee_184,HR,82093
185,Employee_185,Finance,59375
186,Employee_186,Sales,86830
187,Employee_187,HR,82315
188,Employee_188,Sales,41131
189,Employee_189,HR,74812
190,Employee_190,IT,83310
191,Employee_191,HR,50558
192,Employee_192,Marketing,58939
193,Employee_193,IT,52069
194,Employee_194,IT,49248
195,Employee_195,IT,95719
196,Employee_196,IT,80242
197,Employee_197,HR,79614
198,Employee_198,Finance,75643
199,Employee_199,IT,65114
200,Employee_200,Finance,92133
201,Employee_201,HR,62044
202,Employee_202,Finance,72623
203,Employee_203,HR,71823
204,Employee_204,Sales,90766
205,Employee_205,Sales,32251
206,Employee_206,Marketing,84326
207,Employee_207,Marketing,66219
208,Employee_208,Sales,30967
